,city,company_full_names,company_name,create_time,positionId,positionName,salary,salary_max,salary_min,comp_id,city_id,pos_class
0,北京,人人行科技有限公司,人人行(借贷宝),2018-05-03,4485685,python开发工程师,15k-30k,30000,15000,406,20,普通
1,上海,上海清鹤科技股份有限公司,清鹤科技,2018/05/06,4524762,Python开发工程师,10k-20k,20000,10000,165,22,普通
2,北京,北京蚂蜂窝网络科技有限公司,马蜂窝,2018/05/06,4165288,高级Python工程师,15k-25k,25000,15000,599,20,高级
3,北京,北京猎户星空科技有限公司,猎户星空,2018/05/07,4488877,Python工程师,15k-30k,30000,15000,563,20,普通
4,北京,北京优虎商务服务有限公司,老虎证券,2018-05-04,4467387,Python开发工程师,20k-40k,40000,20000,1029,20,普通
5,上海,上海墨沐金融信息服务有限公司,1Token.Trade,2018/05/06,3516805,python 开发工程师,10k-20k,20000,10000,874,22,普通
6,北京,中科视拓（北京）科技有限公司,中科视拓,2018-05-03,4144478,Python高级工程师,25k-40k,40000,25000,317,20,高级
7,北京,深圳市金证科技股份有限公司,金证股份,2018/05/07,4266883,Python 开发工程师,15k-17k,17000,15000,301,20,普通
8,北京,北京数美时代科技有限公司,数美,2018-05-04,3684787,python研发工程师,15k-30k,30000,15000,925,20,普通
9,北京,北京江山如画网路科技有限责任公司,江山如画网络科技,2018-05-04,2475715,Python研发工程师,5k-10k,10000,5000,1012,20,普通
10,北京,北京博派通达科技有限公司,博派通达,2018-05-04,4439353,Python开发工程师,15k-30k,30000,15000,798,20,普通
11,上海,上海基分文化传播有限公司,趣头条,2018/05/07,4186140,Python工程师,15k-30k,30000,15000,503,22,普通
12,大连,北京推想科技有限公司,推想科技,2018-04-28,3626993,python工程师,6k-12k,12000,6000,41,7,普通
13,杭州,杭州群核信息技术有限公司,酷家乐,2018-05-02,3712940,Python研发工程师,15k-23k,23000,15000,218,21,普通
14,上海,上海华瑞银行股份有限公司,上海华瑞银行,2018-05-04,3980046,Python开发工程师,20k-40k,40000,20000,866,22,普通
15,北京,人人行科技有限公司,人人行(借贷宝),2018-05-03,4311741,Python 开发工程师,25k-50k,50000,25000,406,20,普通
16,深圳,深圳市金证科技股份有限公司,金证股份,2018/05/07,3836101,Python开发,9k-16k,16000,9000,301,19,普通
17,北京,北京三快在线科技有限公司,美团点评,2018/05/06,4134091,服务端高级开发工程师Golang/Python,35k-45k,45000,35000,394,20,高级
18,上海,上海进馨网络科技有限公司,纳米盒,2018/05/07,2108656,Python开发工程师,15k-25k,25000,15000,137,22,普通
19,北京,北京嘉楠捷思信息技术有限公司,嘉楠捷思,2018-05-04,4239387,python开发工程师,15k-20k,20000,15000,239,20,普通
20,广州,广州玖维信息科技有限公司,广州玖维信息科技有限公司,2018/05/07,4182315,Python开发工程师,5k-8k,8000,5000,456,12,普通
21,宁波,宁波清车电气有限公司,宁波清车电气有限公司,2018-05-02,4234428,Python软件工程师,7k-10k,10000,7000,281,10,普通
22,北京,北京思维造物信息科技有限公司,罗辑思维,2018-05-04,4398177,Python开发工程师,25k-50k,50000,25000,77,20,普通
23,杭州,杭州沃趣科技股份有限公司,沃趣科技,2018/05/06,1198581,Python开发工程师,11k-22k,22000,11000,548,21,普通
24,北京,北京江山如画网路科技有限责任公司,江山如画网络科技,2018-05-04,4497673,Python,15k-30k,30000,15000,1012,20,普通
25,成都,成都捷云智慧科技有限公司,捷云智慧,2018-05-04,3490584,Python,8k-12k,12000,8000,1014,35,普通
26,北京,北京算云联科科技有限公司,北京算云联科,2018-05-04,4457857,Python开发工程司,15k-25k,25000,15000,299,20,普通
27,北京,北京步鼎方舟科技有限公司,微车,2018-05-04,4507407,Python开发工程师,10k-18k,18000,10000,1061,20,普通
28,广州,广州市擎天柱网络科技有限公司,擎天柱,2018-05-03,4454156,Python开发工程师,10k-18k,18000,10000,126,12,普通
29,深圳,深圳市杉岩数据技术有限公司,杉岩数据,2018/05/07,3657514,Python开发工程师,10k-16k,16000,10000,872,19,普通
30,北京,人人行科技有限公司,人人行(借贷宝),2018-05-03,4288419,Python开发工程师,15k-30k,30000,15000,406,20,普通
31,北京,北京江山如画网路科技有限责任公司,江山如画网络科技,2018-05-04,4497631,Python研发工程师,12k-20k,20000,12000,1012,20,普通
32,杭州,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2018-05-04,3960662,python开发,10K-20K,20000,10000,639,21,普通
33,深圳,深圳佑驾创新科技有限公司,Minieye,2018-05-04,3759498,python工程师,15k-30k,30000,15000,152,19,普通
34,上海,深圳市前海自乐游旅游科技有限公司,TravelFlan上海,2018-05-03,4354723,Python开发工程师,25k-50k,50000,25000,255,22,普通
35,北京,广州杰颉软件科技有限公司,颉一软件,2018-05-02,3794749,Python开发工程师,20k-25k,25000,20000,1070,20,普通
36,北京,北京作业盒子科技有限公司,作业盒子,2018/05/07,4254243,python工程师,15k-30k,30000,15000,304,20,普通
37,北京,北京达佳互联信息技术有限公司,快手,2018/05/07,4490687,python开发工程师,25k-50k,50000,25000,843,20,普通
38,北京,北京开拓天际科技有限公司,开拓天际,2018-05-04,4052835,Python工程师,15k-23k,23000,15000,435,20,普通
39,北京,北京智融时代科技有限公司,智融集团,2018-05-03,2879999,Python开发工程师,20k-40k,40000,20000,791,20,普通
40,上海,上海墨沐金融信息服务有限公司,1Token.Trade,2018/05/06,4050575,资深python开发工程师,25k-35k,35000,25000,874,22,高级
41,深圳,深圳市有鱼智能科技有限公司,有鱼智能科技,2018-05-04,4220139,Python开发工程师,10k-20k,20000,10000,781,19,普通
42,杭州,浙江天垂科技有限公司,TELETRAAN,2018/05/07,3234474,Python工程师,15k-30k,30000,15000,961,21,普通
43,上海,上海江村市隐智能科技有限公司,江村市隐,2018-05-04,4520859,python工程师,15k-20k,20000,15000,699,22,普通
44,北京,北京朗势科技有限公司,tataUFO,2018-05-04,4207347,高级Python工程师,25k-35k,35000,25000,519,20,高级
45,北京,人人行科技有限公司,人人行(借贷宝),2018-05-03,4288430,高级Python开发工程师,25k-40k,40000,25000,406,20,高级
46,郑州,青松智慧（北京）科技有限公司,青松,2018-05-04,4147174,Python开发工程师,8k-10k,10000,8000,913,17,普通
47,北京,北京博智天下信息技术有限公司,朗播网,2018-05-04,3684375,Python开发工程师,20k-40k,40000,20000,655,20,普通
48,上海,上海众言网络科技有限公司,问卷网@爱调研,2018-05-04,3910916,Python开发,15k-30k,30000,15000,659,22,普通
49,上海,上海拍拍贷金融信息服务有限公司,拍拍贷,2018-05-03,3204657,python工程师,12k-24k,24000,12000,497,22,普通
50,北京,探探科技（北京）有限公司,探探,2018-04-26,4390952,Python开发攻城狮,20k-40k,40000,20000,349,20,普通
51,杭州,杭州嘉云数据科技有限公司,Club Factory,2018-05-04,3292264,Python 开发工程师,15k-20k,20000,15000,1040,21,普通
52,广州,广州市擎天柱网络科技有限公司,擎天柱,2018-05-02,4509413,Python开发工程师,8k-12k,12000,8000,126,12,普通
53,上海,深圳市紫川软件有限公司,紫川软件,2018/05/07,3911802,python开发工程师,12k-19k,19000,12000,309,22,普通
54,北京,北京摩尔妈咪网络科技有限公司,摩尔妈妈,2018-05-04,4035807,Python工程师,15k-30k,30000,15000,144,20,普通
55,深圳,深圳市和讯华谷信息技术有限公司,极光,2018-05-04,907162,Python开发工程师,15k-30k,30000,15000,130,19,普通
56,东莞,深圳市泽林信息咨询有限公司,泽林信息,2018/05/07,4279927,python开发工程师(东莞),5k-8k,8000,5000,66,28,普通
57,深圳,深圳市华宇讯科技有限公司,卖座网,2018-05-04,3910014,Python工程师,10k-20k,20000,10000,436,19,普通
58,北京,北京好巧国际旅行社有限公司,好巧,2018-05-04,2714158,python工程师,15k-20k,20000,15000,398,20,普通
59,上海,北京来也网络科技有限公司,助理来也,2018/05/07,4211437,Python开发工程师(193),15k-30k,30000,15000,225,22,普通
60,北京,北京高思博乐教育科技股份有限公司,高思教育集团,2018-05-04,4487544,python开发工程师,20k-30k,30000,20000,867,20,普通
61,北京,优舫（北京）信息科技有限公司,优信集团,2018-05-03,4464118,高级PHP+Python工程师,20k-40k,40000,20000,755,20,高级
62,北京,北京迅达云成科技有限公司,SpeedyCloud,2018-05-03,4325038,Python开发工程师,10k-20k,20000,10000,214,20,普通
63,深圳,深圳众禄基金销售股份有限公司,众禄基金,2018-05-03,3202532,Python开发工程师,18k-30k,30000,18000,27,19,普通
64,郑州,郑州创恒实业有限公司,郑州创恒实业有限公司,2018-05-02,3222466,Python开发工程师,5k-10k,10000,5000,579,17,普通
65,杭州,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2018/05/06,4188782,Python开发工程师,9k-14k,14000,9000,639,21,普通
66,上海,上海有个机器人有限公司,有个机器人,2018-05-04,4414080,python研发工程师,15K-20K,20000,15000,208,22,普通
67,北京,京东金融,京东金融,2018-05-04,3762683,Python研发工程师,25k-50k,50000,25000,446,20,普通
68,成都,成都捷云智慧科技有限公司,捷云智慧,2018-05-04,4301480,Python,8K-10K,10000,8000,1014,35,普通
69,天津,北京汇行科技有限公司,妙计旅行,2018-05-04,4380372,Python开发工程师,5k-10k,10000,5000,61,26,普通
70,上海,上海坤亿信息技术有限公司,坤亿科技,2018-05-02,4477839,Python开发工程师,8k-11k,11000,8000,748,22,普通
71,北京,小叶子（北京）科技有限公司,The ONE,2018-05-04,3802618,python,20k-30k,30000,20000,943,20,普通
72,北京,北京来也网络科技有限公司,助理来也,2018-05-04,3362415,Python开发工程师,15k-30k,30000,15000,225,20,普通
73,北京,北京字节跳动科技有限公司,字节跳动,2018/05/06,4005705,Python开发工程师,20k-35k,35000,20000,14,20,普通
74,北京,上海淇毓信息科技有限公司,奇虎360金融,2018-05-04,3966469,Python开发工程师,20k-30k,30000,20000,617,20,普通
75,杭州,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2018/05/06,3387145,Python开发工程师,11K-22K,22000,11000,639,21,普通
76,北京,北京点石经纬科技有限公司,新东方教育行业研究院,2018-05-04,3957184,Python工程师,15k-25k,25000,15000,878,20,普通
77,北京,北京掌控世代科技有限公司,掌控,2018-05-04,4431058,Python工程师,15k-30k,30000,15000,910,20,普通
78,北京,杭州云脑科技有限公司,云脑科技,2018-05-03,4022435,Python工程师,10k-20k,20000,10000,131,20,普通
79,北京,北京复华卓越商业管理有限公司,复华控股,2018-05-02,3961591,Python开发工程师,15k-30k,30000,15000,667,20,普通
80,北京,北京慕华信息科技有限公司,学堂在线,2018/05/07,3106720,系统开发工程师（Python）,20k-30k,30000,20000,200,20,普通
81,厦门,厦门视我科技有限公司,10com,2018-05-03,3511595,Python工程师,10k-20k,20000,10000,212,11,普通
82,上海,亿可能源科技（上海）有限公司,亿可能源,2018-04-25,3193977,Python,15k-30k,30000,15000,567,22,普通
83,上海,上海庆科信息技术有限公司,MXCHIP,2018-05-04,4120649,python开发工程师,15k-18k,18000,15000,980,22,普通
